"AAV2020","AN","BV2012","DEP","DEPCOM","DOM","EPCI","DCIRIS","LAMBERT_X","LAMBERT_Y","QP","QUALI_IRIS","QUALI_QP","QUALI_QVA","QUALI_ZFU","QUALI_ZUS","QUALITE_XY","QVA","REG","SDOM","TYPEQU","UU2020","ZFU","ZUS"
12,2021,34022,34,34022,"A",243400017,340220102,"781729.88","6285175.21","CSZ","1","X","X","X","X","Bonne","CSZ",76,"A1","A129","34302","CSZ","CSZ"
12,2021,34058,34,34027,"A",243400017,340270000,"782249.9999999999","6292750","CSZ","X","X","X","X","X","Acceptable","CSZ",76,"A1","A129","34133","CSZ","CSZ"
12,2021,34172,34,34057,"A",243400017,340570103,"772475.62","6281921.250000001","CSZ","1","X","X","X","X","Bonne","CSZ",76,"A1","A129","34701","CSZ","CSZ"
12,2021,34058,34,34058,"A",243400017,340580101,"779478.2799999999","6287040.41","CSZ","1","X","X","X","X","Bonne","CSZ",76,"A1","A129","34206","CSZ","CSZ"
12,2021,34172,34,34077,"A",243400017,340770101,"771636.9799999999","6284633.64","CSZ","1","X","X","X","X","Bonne","CSZ",76,"A1","A129","34701","CSZ","CSZ"
12,2021,34088,34,34087,"A",243400017,340870000,"757131.61","6272537.26","CSZ","X","X","X","X","X","Bonne","CSZ",76,"A1","A129","34214","CSZ","CSZ"
12,2021,34088,34,34088,"A",243400017,340880101,"757950.71","6273204.82","CSZ","1","X","X","X","X","Bonne","CSZ",76,"A1","A129","34214","CSZ","CSZ"
12,2021,34172,34,34090,"A",243400017,340900101,"775750.0000000001","6283850","CSZ","1","X","X","X","X","Bonne","CSZ",76,"A1","A129","34701","CSZ","CSZ"
12,2021,34172,34,34095,"A",243400017,340950102,"762978.7899999999","6272593.31","CSZ","1","X","X","X","X","Bonne","CSZ",76,"A1","A129","34701","CSZ","CSZ"
12,2021,34172,34,34116,"A",243400017,341160101,"764249.9999999999","6283450","CSZ","1","X","X","X","X","Acceptable","CSZ",76,"A1","A129","34701","CSZ","CSZ"
12,2021,34172,34,34120,"A",243400017,341200102,"773434.96","6285075.69","CSZ","1","X","X","X","X","Bonne","CSZ",76,"A1","A129","34701","CSZ","CSZ"
12,2021,34172,34,34123,"A",243400017,341230101,"764644.78","6279779.35","CSZ","1","X","X","1","1","Bonne","CSZ",76,"A1","A129","34701","HZ","HZ"
12,2021,34172,34,34129,"A",243400017,341290101,"772887.67","6274738.2","CSZ","1","X","X","X","X","Bonne","CSZ",76,"A1","A129","34701","CSZ","CSZ"
12,2021,34172,34,34134,"A",243400017,341340000,"764942.92","6276410.58","CSZ","X","X","X","X","X","Bonne","CSZ",76,"A1","A129","34701","CSZ","CSZ"
12,2021,34058,34,34164,"A",243400017,341640000,"776849.9999999999","6295250","CSZ","X","X","X","X","X","Acceptable","CSZ",76,"A1","A129","CSZ","CSZ","CSZ"
12,2021,34172,34,34169,"A",243400017,341690000,"769460.84","6285676.16","CSZ","X","X","X","X","X","Bonne","CSZ",76,"A1","A129","34701","CSZ","CSZ"
12,2021,34172,34,34179,"A",243400017,341790000,"759547.0700000001","6278674.31","CSZ","X","X","X","X","X","Bonne","CSZ",76,"A1","A129","CSZ","CSZ","CSZ"
12,2021,34172,34,34198,"A",243400017,341980101,"777049.9999999999","6274350","CSZ","1","X","X","X","X","Bonne","CSZ",76,"A1","A129","34701","CSZ","CSZ"
12,2021,34172,34,34202,"A",243400017,342020101,"761550.0000000001","6276150","CSZ","1","X","X","X","X","Bonne","CSZ",76,"A1","A129","34209","CSZ","CSZ"
12,2021,34172,34,34217,"A",243400017,342170101,"769716.38","6289086.58","CSZ","1","X","X","X","X","Bonne","CSZ",76,"A1","A129","34701","CSZ","CSZ"
12,2021,34058,34,34227,"A",243400017,342270000,"783649.9999999999","6292250","CSZ","X","X","X","X","X","Acceptable","CSZ",76,"A1","A129","34133","CSZ","CSZ"
12,2021,34022,34,34244,"A",243400017,342440000,"783249.9999999999","6285550","CSZ","X","X","X","X","X","Acceptable","CSZ",76,"A1","A129","34302","CSZ","CSZ"
12,2021,34058,34,34249,"A",243400017,342490000,"779150.0000000001","6293250","CSZ","X","X","X","X","X","Bonne","CSZ",76,"A1","A129","34114","CSZ","CSZ"
12,2021,34058,34,34256,"A",243400017,342560000,"783449.9999999999","6289250","CSZ","X","X","X","X","X","Acceptable","CSZ",76,"A1","A129","34138","CSZ","CSZ"
12,2021,34172,34,34259,"A",243400017,342590101,"763262.82","6279358.96","CSZ","1","X","X","X","X","Bonne","CSZ",76,"A1","A129","34202","CSZ","CSZ"
12,2021,34172,34,34270,"A",243400017,342700101,"766785.96","6275523.54","CSZ","1","X","X","X","1","Bonne","CSZ",76,"A1","A129","34701","CSZ","HZ"
12,2021,34172,34,34295,"A",243400017,342950000,"762578.78","6274969.73","CSZ","X","X","X","X","X","Bonne","CSZ",76,"A1","A129","34701","CSZ","CSZ"
12,2021,34058,34,34307,"A",243400017,343070000,"780941.34","6290936.98","CSZ","X","X","X","X","X","Bonne","CSZ",76,"A1","A129","34138","CSZ","CSZ"
12,2021,34172,34,34327,"A",243400017,343270101,"778249.9999999999","6284650","CSZ","2","X","X","X","X","Acceptable","CSZ",76,"A1","A129","34701","CSZ","CSZ"
12,2021,34172,34,34337,"A",243400017,343370101,"769750.0000000001","6270850","CSZ","1","X","X","X","X","Acceptable","CSZ",76,"A1","A129","34701","CSZ","CSZ"
